TIME_PER_HOUR,DAY_TYPE,TAP_IN_MEAN,TAP_IN_25,TAP_IN_75,TAP_OUT_MEAN,TAP_OUT_25,TAP_OUT_75
0.0,WEEKDAY,63.70196396814352,2.6666666666666665,33.5,92.93474058609759,9.0,109.0
0.0,WEEKENDS/HOLIDAY,33.28905217323692,1.6666666666666667,17.0,48.320231708265304,5.333333333333333,56.666666666666664
1.0,WEEKDAY,6.349819553805775,0.0,4.0,14.788303805774278,2.0,15.666666666666666
1.0,WEEKENDS/HOLIDAY,3.2736075407026566,0.0,2.3333333333333335,8.178577549271637,1.5,9.0
2.0,WEEKDAY,2.7268041237113403,0.0,3.0,3.333333333333333,1.0,3.0
2.0,WEEKENDS/HOLIDAY,0.75,0.0,1.0,2.1346153846153846,1.0,2.0
3.0,WEEKDAY,2.92,0.0,4.0,3.74,1.0,4.0
3.0,WEEKENDS/HOLIDAY,2.888888888888889,0.0,3.75,2.7222222222222223,1.0,3.5
4.0,WEEKDAY,32.481735159817354,0.0,3.0,3.3378995433789953,0.0,2.0
4.0,WEEKENDS/HOLIDAY,3.333333333333333,0.0,3.0,1.9233333333333333,0.0,2.0
5.0,WEEKDAY,254.8999643207564,13.0,274.0,139.89015252876638,2.3333333333333335,73.0
5.0,WEEKENDS/HOLIDAY,53.14669128088611,4.0,60.666666666666664,28.40310517845309,0.6666666666666666,14.333333333333334
6.0,WEEKDAY,1029.943555818852,64.66666666666667,1225.4166666666665,793.1491574512902,69.25,681.75
6.0,WEEKENDS/HOLIDAY,159.302270608603,12.0,174.83333333333334,139.04824210946865,11.0,106.33333333333333
7.0,WEEKDAY,1656.0997645673926,129.0,1939.3333333333333,1590.5988816951149,178.0,1548.3333333333333
7.0,WEEKENDS/HOLIDAY,252.93668437274576,25.666666666666668,284.83333333333337,235.9699324545872,28.333333333333332,208.33333333333334
8.0,WEEKDAY,1483.2421803428872,121.66666666666667,1737.0,1605.696440256511,184.41666666666669,1380.3333333333333
8.0,WEEKENDS/HOLIDAY,322.86974762372995,32.333333333333336,382.6666666666667,313.065126188135,38.666666666666664,276.6666666666667
9.0,WEEKDAY,911.982016509434,82.33333333333333,1084.5833333333333,1019.7421383647799,122.25,906.1666666666666
9.0,WEEKENDS/HOLIDAY,349.2318441251722,32.666666666666664,417.3333333333333,342.9172407006495,33.666666666666664,289.6666666666667
10.0,WEEKDAY,708.12656938145,78.0,829.1666666666667,725.8040163018471,81.66666666666667,642.8333333333333
10.0,WEEKENDS/HOLIDAY,367.4523294672695,37.0,446.3333333333333,359.1613590197235,30.5,308.83333333333337
11.0,WEEKDAY,728.0131137842635,101.0,836.6666666666667,714.9585880496943,79.0,642.5
11.0,WEEKENDS/HOLIDAY,381.27818169908954,43.666666666666664,447.3333333333333,377.343878954608,32.0,336.0
