MRT_Line,Bus_ServiceNo,Bus_Route_Length_m,Overlap_Length_m,Coverage_Percentage,Consecutive_Coverage_Percentage,Max_Consecutive_Segments,Weighted_Average_Angle,Weighted_Average_Score
North-East,146,4233.231282371294,3017.028670102874,4.761904761904762,40.0,2.0,18.0,21.504761904761907
Thomson East Coast,900,6377.941063529027,4481.074298021638,5.263157894736842,28.57142857142857,2.0,39.4,21.413834586466166
Thomson East Coast,150,5858.431458964779,1992.9875105810136,2.631578947368421,33.33333333333333,2.0,34.6,21.3059649122807
North-East,53M,5418.481565757672,2510.1689521997782,9.523809523809524,33.33333333333333,2.0,20.5,21.242857142857144
Downtown,961,32571.02091353538,14040.258352197936,22.5,6.0606060606060606,2.0,48.9,21.204242424242423
Downtown,170,30017.43088102388,15308.98190481425,17.5,9.67741935483871,3.0,51.1,21.090967741935486
Thomson East Coast,132,21353.27834112654,9413.078553059233,18.421052631578945,13.636363636363635,3.0,41.2,21.06296650717703
North-South,71,15062.335137587834,8232.234314881793,9.523809523809524,18.75,3.0,48.6,21.02952380952381
Circle,30e,20516.083508728214,11861.968560338632,14.634146341463413,14.285714285714285,3.0,47.1,20.98794425087108
Cross Island,109,20160.901893664937,14009.714123246555,12.121212121212121,9.523809523809524,2.0,61.6,20.978008658008658
East-West,28,24034.445887486436,10624.842632259124,11.864406779661017,20.0,5.0,40.9,20.925762711864408
Thomson East Coast,16,18738.782328205765,7417.529862148949,15.789473684210526,15.789473684210526,3.0,40.7,20.771578947368422
Circle,97,18817.34520928715,10060.18110710127,17.073170731707318,10.526315789473683,2.0,48.5,20.7397946084724
Jurong Region,241A,2021.6091820071767,2021.6091820071765,1.3333333333333335,33.33333333333333,1.0,33.8,20.626666666666665
Cross Island,88,21097.15593017289,11263.869600009306,21.21212121212121,4.545454545454546,1.0,51.3,20.563030303030303
North-South,183B,3570.6157618350635,1885.398517642699,2.380952380952381,25.0,1.0,47.8,20.51238095238095
Thomson East Coast,196e,11257.82492259239,8925.605262909528,15.789473684210526,16.666666666666664,2.0,37.4,20.462456140350877
Thomson East Coast,16M,19142.933769919302,7417.529862148949,15.789473684210526,15.0,3.0,40.7,20.455789473684213
Jurong Region,974A,17749.950297833995,9635.02170725617,14.666666666666666,16.666666666666664,3.0,39.6,20.453333333333333
Circle,70,21488.77995983826,12435.361704883546,12.195121951219512,13.636363636363635,3.0,50.5,20.43259423503326
Jurong Region,334,7829.090813909469,7560.261214364712,2.666666666666667,25.0,2.0,46.7,20.406666666666666
Cross Island,39B,7420.013656991582,6902.7618255829375,3.0303030303030303,25.0,2.0,45.8,20.372121212121215
Thomson East Coast,269,6776.40640992073,4076.5062298745215,2.631578947368421,28.57142857142857,2.0,39.3,20.341203007518796
Circle,660,15090.891482551393,5180.96079015147,12.195121951219512,18.75,3.0,39.5,20.278048780487808
Jurong Region,974,29849.90562324486,18679.897694010066,14.666666666666666,16.666666666666664,5.0,38.5,20.233333333333334
Bukit Panjang LRT,171,26155.38469058562,5645.426786789379,16.666666666666664,14.814814814814813,4.0,38.2,20.232592592592592
East-West,5A,2307.4275705737555,1678.7275106655625,1.694915254237288,33.33333333333333,1.0,30.7,20.15129943502825
Circle,200,13259.800861955624,10381.093564691238,9.75609756097561,21.428571428571427,3.0,38.1,20.093867595818814
Jurong Region,98,22507.71619206801,16452.850256149555,10.666666666666668,17.391304347826086,4.0,43.8,19.9831884057971
Jurong Region,98B,8444.94542378122,5513.841188409389,8.0,22.22222222222222,2.0,39.4,19.968888888888888
Thomson East Coast,138,25316.504237761645,10455.184244476422,10.526315789473683,15.384615384615385,4.0,47.4,19.84437246963563
Jurong Region,79T,10006.099113724562,6583.842905767243,6.666666666666667,18.181818181818183,2.0,48.9,19.719393939393942
North-South,131A,9746.452764577487,5039.3530039920915,7.142857142857142,20.0,2.0,43.9,19.637142857142855
Cross Island,324,3156.48363015951,2541.1575382905653,3.0303030303030303,25.0,1.0,41.9,19.592121212121214
Downtown,61,33237.08406064693,11739.776507298395,17.5,8.823529411764707,3.0,44.6,19.449411764705882
Cross Island,83,10930.611074510725,9345.431437406913,6.0606060606060606,27.27272727272727,3.0,30.2,19.37333333333333
Downtown,228,8983.09796030734,6736.740743449451,5.0,22.22222222222222,2.0,42.1,19.308888888888887
Jurong Region,178,27273.837994663874,10236.57258916292,10.666666666666668,10.714285714285714,3.0,53.7,19.292380952380956
North-East,62A,13963.844813207128,3341.1659577822934,14.285714285714285,14.285714285714285,2.0,39.3,19.28857142857143
Jurong Region,975B,12530.205950826094,2785.9673859126583,1.3333333333333335,15.384615384615385,2.0,63.0,19.28717948717949
Jurong Region,405,13325.297932651678,5712.935613837725,13.333333333333334,21.428571428571427,3.0,26.8,19.264761904761905
East-West,293,12106.380023860856,7251.051048486468,6.779661016949152,23.076923076923077,3.0,36.1,19.162633637548893
East-West,38,9713.425352184628,7381.143772241952,10.16949152542373,20.0,2.0,35.4,19.147796610169493
Cross Island,58B,11169.66515517703,4095.9698556379044,15.151515151515152,16.666666666666664,2.0,31.9,19.107272727272726
Downtown,970,22410.902676447327,9257.545728126921,17.5,8.695652173913043,2.0,42.7,19.018260869565218
Cross Island,403,6043.244049622741,4733.917578153027,6.0606060606060606,28.57142857142857,2.0,25.8,19.012813852813853
Downtown,137A,3709.8683924043207,1479.3865646329123,2.5,25.0,1.0,40.0,19.0
East-West,2B,12028.453288258173,7245.488184884489,8.47457627118644,23.076923076923077,3.0,31.8,18.980599739243807
Thomson East Coast,169B,3039.698151392547,1200.985604625006,2.631578947368421,25.0,1.0,39.6,18.972631578947368
Jurong Region,502A,24555.67128609829,8087.214331808105,10.666666666666668,8.0,2.0,57.3,18.92666666666667
Jurong Region,249,14592.396078976615,7071.070003102965,4.0,20.0,3.0,46.4,18.88
North-South,947,4030.551120240767,2614.4350625983657,2.380952380952381,20.0,1.0,49.6,18.872380952380954
Cross Island,39A,10009.576733008622,6942.970579775642,3.0303030303030303,18.181818181818183,2.0,51.9,18.864848484848487
Thomson East Coast,980,22536.933480775067,5125.689302961877,10.526315789473683,8.695652173913043,2.0,55.1,18.708787185354694
Cross Island,72,15186.340769156566,4580.217663176207,9.090909090909092,12.5,2.0,49.6,18.55636363636364
North-East,325,9460.045397047421,6529.880419196252,9.523809523809524,30.0,3.0,13.6,18.52952380952381
Jurong Region,651,21974.77768135687,8707.661578809526,10.666666666666668,9.090909090909092,2.0,52.8,18.463030303030305
North-South,117A,3356.4541229598785,1426.2440113488367,2.380952380952381,25.0,1.0,37.5,18.452380952380953
Downtown,8,15544.667289380082,7346.990175740157,10.0,12.5,2.0,47.0,18.4
Circle,130,13996.648298573793,5626.950836682095,12.195121951219512,14.285714285714285,2.0,38.9,18.372334494773522
North-East,80,20960.779324581104,9594.685780947473,9.523809523809524,9.523809523809524,2.0,53.7,18.359047619047622
North-South,187,21476.538084868214,7076.629020621951,11.904761904761903,9.090909090909092,2.0,49.6,18.3182683982684
Jurong Region,180,19461.676698111507,13252.2217011918,6.666666666666667,10.0,2.0,58.2,18.30666666666667
East-West,222A,3395.8966170412064,2559.110043214212,1.694915254237288,25.0,1.0,38.1,18.297966101694918
East-West,222B,3178.3185851989156,2625.3193746989778,1.694915254237288,25.0,1.0,38.0,18.277966101694915
Thomson East Coast,901,4759.562513387837,4266.100248879705,5.263157894736842,20.0,1.0,40.8,18.265263157894736
Jurong Region,180A,9819.626416178167,6627.954871547501,6.666666666666667,10.0,1.0,57.9,18.246666666666666
East-West,21A,3062.0166576496676,1742.4720107580943,1.694915254237288,25.0,1.0,37.8,18.237966101694916
Cross Island,89,38696.75012734955,23378.554596395737,15.151515151515152,5.128205128205128,2.0,50.6,18.231888111888114
Downtown,63M,10167.41659502489,6733.958186728672,7.5,18.181818181818183,2.0,38.9,18.052727272727275
East-West,4,9089.90863219901,9089.90863219901,6.779661016949152,20.0,2.0,36.7,18.05186440677966
Circle,654,17167.915966825083,5590.820031047999,12.195121951219512,11.11111111111111,2.0,43.2,17.962493224932253
East-West,222,9781.576524205406,7658.819844930199,5.084745762711865,20.0,2.0,39.5,17.933898305084746
Cross Island,116A,3132.1811324822934,1328.525334131819,3.0303030303030303,25.0,1.0,33.6,17.932121212121213
Jurong Region,993,7336.205499057335,7009.559172020563,2.666666666666667,25.0,2.0,34.3,17.926666666666666
North-South,807A,3618.8507162474825,752.8582862426847,2.380952380952381,25.0,1.0,34.6,17.872380952380954
East-West,17,10884.89230513736,6727.01144156154,8.47457627118644,18.181818181818183,2.0,35.7,17.80255778120185
Downtown,23,27525.88000508329,20418.646293014106,17.5,7.142857142857142,2.0,39.6,17.77714285714286
Downtown,298,10702.565698910177,4631.299956984043,5.0,18.181818181818183,2.0,42.5,17.772727272727273
Downtown,184,20775.26119880025,11352.958859568364,10.0,14.285714285714285,3.0,40.2,17.754285714285714
Thomson East Coast,138A,12629.665596803854,5187.162265432399,5.263157894736842,15.384615384615385,2.0,47.3,17.71910931174089
Jurong Region,258,14324.916071690961,7729.953414208538,8.0,20.0,3.0,32.5,17.7
North-East,64,27108.23106320995,9992.016301509193,14.285714285714285,7.142857142857142,2.0,45.5,17.67142857142857
East-West,2,24444.776433739957,18548.737496884318,11.864406779661017,12.0,3.0,40.4,17.62576271186441
Downtown,157,22097.204814697143,5895.4252851535375,7.5,13.043478260869565,3.0,47.0,17.617391304347827
North-South,162,17878.534219737394,8278.121282827105,9.523809523809524,11.11111111111111,2.0,46.8,17.613968253968252
North-East,147,25623.930616318474,10685.883440050562,14.285714285714285,3.8461538461538463,1.0,51.4,17.532747252747253
North-East,62,30282.46737781332,6940.571863861834,14.285714285714285,6.451612903225806,2.0,46.0,17.49493087557604
Jurong Region,143M,8309.33259266991,8211.864098511858,2.666666666666667,22.22222222222222,2.0,37.5,17.455555555555556
East-West,21,23957.99728720333,10091.031901105413,10.16949152542373,12.5,3.0,41.8,17.42779661016949
Circle,156,23073.582861646446,6005.581565396098,9.75609756097561,12.5,3.0,42.6,17.422439024390243
Downtown,94A,4344.1187694961345,1041.4120607196498,2.5,20.0,1.0,42.0,17.4
North-East,101,13267.620332098024,9497.21971809713,14.285714285714285,14.285714285714285,2.0,29.8,17.38857142857143
Downtown,59,23268.640017472964,9764.930732528273,10.0,8.333333333333332,2.0,50.1,17.353333333333335
Cross Island,89A,15692.570793569179,9194.710280529058,12.121212121212121,6.25,1.0,49.6,17.26848484848485
Thomson East Coast,47,19323.82925055022,8762.332808415715,7.894736842105263,15.0,3.0,40.4,17.237894736842108
North-South,56,9429.59666875891,5594.312416675938,7.142857142857142,10.0,1.0,51.9,17.237142857142857
East-West,18,10601.803885002575,4818.384365473711,6.779661016949152,18.181818181818183,2.0,36.1,17.204591679506933
North-South,307A,5323.891368678561,4932.663224565577,4.761904761904762,16.666666666666664,1.0,43.1,17.191428571428574
North-South,124,15816.565389100058,6087.5677836767445,7.142857142857142,12.5,2.0,46.6,17.177142857142858
Cross Island,136,14420.30340785196,4210.558382611265,12.121212121212121,13.333333333333334,2.0,34.6,17.101818181818185
Cross Island,3,15987.40263480672,10848.170324794286,15.151515151515152,6.25,1.0,42.7,17.10060606060606
East-West,96A,3683.6433253609594,1502.8227853334663,1.694915254237288,25.0,1.0,31.9,17.057966101694916
Cross Island,116,10361.432523378882,4482.625439175644,6.0606060606060606,18.181818181818183,2.0,36.7,17.0369696969697
Downtown,133,15610.2627875394,7258.611857671116,7.5,12.5,2.0,45.0,17.0
North-South,912M,4745.5878450525215,4507.534422008419,4.761904761904762,20.0,1.0,35.4,16.984761904761903
Circle,166,26255.20215218439,10820.946767489022,14.634146341463413,7.4074074074074066,2.0,40.8,16.97662149954833
North-South,811T,12799.934580342804,7778.148451343313,9.523809523809524,15.384615384615385,2.0,34.9,16.943369963369964
North-South,811,12799.934580342804,7778.148451343313,9.523809523809524,15.384615384615385,2.0,34.9,16.943369963369964
Thomson East Coast,670,21698.89405977182,9554.927680494151,10.526315789473683,9.090909090909092,2.0,44.7,16.78688995215311
North-East,123M,7708.255434303535,3258.635880195287,4.761904761904762,25.0,2.0,24.4,16.784761904761904
Thomson East Coast,36B,25675.006849773974,17426.23232262958,13.157894736842104,7.6923076923076925,2.0,42.2,16.78008097165992
Downtown,60,12231.920996742043,6472.233305040992,5.0,15.384615384615385,2.0,43.1,16.773846153846154
North-South,859,13966.969225576513,9368.980456536547,7.142857142857142,21.428571428571427,3.0,26.7,16.768571428571427
Circle,70A,19379.916050788346,10370.900865704301,4.878048780487805,10.0,2.0,54.0,16.75121951219512
Downtown,177,9646.957592030312,4774.68608098342,2.5,20.0,2.0,38.5,16.7
Cross Island,329,5518.913173735375,2942.54907892559,6.0606060606060606,16.666666666666664,1.0,38.0,16.69090909090909
North-South,850E,19273.85273369407,9169.81161931881,7.142857142857142,5.0,1.0,59.1,16.677142857142858
Cross Island,261,4054.1948546194803,2904.05624873082,3.0303030303030303,20.0,1.0,37.2,16.652121212121216
Cross Island,89e,17101.15506078056,9531.612601609566,9.090909090909092,5.555555555555555,1.0,53.6,16.57858585858586
North-South,851e,17668.262216826744,12576.303450204095,7.142857142857142,5.555555555555555,1.0,57.3,16.53936507936508
Cross Island,72A,5777.819843558547,1130.4272141393928,3.0303030303030303,16.666666666666664,1.0,43.3,16.53878787878788
North-South,663,20263.743410261497,7939.611734954333,7.142857142857142,4.761904761904762,1.0,58.7,16.501904761904765
Circle,11,7222.816315945261,4258.248950664802,2.4390243902439024,12.5,1.0,52.6,16.49560975609756
North-South,86B,5465.546051662272,1313.64734218626,2.380952380952381,16.666666666666664,1.0,44.3,16.47904761904762
North-South,858A,8155.530254852566,4852.477636555229,4.761904761904762,22.22222222222222,2.0,28.4,16.473650793650794
Circle,93,22579.982576667247,8414.882502620301,9.75609756097561,4.3478260869565215,1.0,54.1,16.461569459172853
Jurong Region,79,20226.728875860226,13448.1342069348,6.666666666666667,9.523809523809524,2.0,49.9,16.45619047619048
Circle,106,19535.98728722254,7843.730986487367,9.75609756097561,10.0,2.0,42.6,16.422439024390243
Thomson East Coast,36,44616.364458517484,22222.688024250634,13.157894736842104,4.444444444444445,2.0,46.7,16.38093567251462
North-South,86A,5380.591997541631,1141.3005556525354,2.380952380952381,16.666666666666664,1.0,43.7,16.35904761904762
North-South,807B,4801.1881333971805,1935.1957033923825,2.380952380952381,20.0,1.0,37.0,16.352380952380955
North-South,141,8142.392116368939,2608.8517840890586,4.761904761904762,11.11111111111111,1.0,49.9,16.329206349206352
Cross Island,39,24190.177056562134,9147.883147116427,3.0303030303030303,8.0,2.0,59.4,16.292121212121213
Downtown,668,16516.69372823153,4729.9964952476785,7.5,11.76470588235294,2.0,42.9,16.285882352941176
Cross Island,68,12368.022615668026,9386.555566394367,12.121212121212121,15.384615384615385,2.0,26.3,16.262331002331003
East-West,25,16734.96889740972,5082.968880109568,5.084745762711865,11.76470588235294,2.0,47.6,16.259780658025925
North-South,960,24478.8674268093,7719.948443007005,9.523809523809524,8.0,2.0,46.1,16.229523809523812
North-South,307,9160.68328706206,7283.969333617362,7.142857142857142,10.0,1.0,46.6,16.177142857142858
Circle,410G,7865.097258755281,3596.814867585992,4.878048780487805,12.5,1.0,46.0,16.151219512195123
Downtown,5,28469.105274257432,11220.305565327064,12.5,6.896551724137931,2.0,41.9,16.138620689655173
Thomson East Coast,134,11883.039911586426,4962.123752658348,5.263157894736842,16.666666666666664,2.0,36.4,16.0519298245614
North-South,652,16454.41811781867,6298.263353479642,4.761904761904762,5.88235294117647,1.0,58.8,16.017703081232494
North-South,811A,4203.4517109541375,1720.4546325831786,4.761904761904762,20.0,1.0,30.3,15.964761904761906
North-South,912,13371.041296301719,11089.86469720634,9.523809523809524,14.285714285714285,2.0,32.2,15.963809523809525
North-South,859B,3449.2755713021993,2558.181036169268,2.380952380952381,25.0,1.0,25.0,15.952380952380953
Downtown,139,14603.585871534815,3304.631837527774,7.5,13.333333333333334,2.0,37.9,15.913333333333334
Circle,410W,7822.362312269525,3496.3971794673294,4.878048780487805,12.5,1.0,44.8,15.911219512195121
East-West,33B,5954.418860084959,2643.9379473297918,1.694915254237288,16.666666666666664,1.0,42.8,15.904632768361582
East-West,192,11528.088885242334,9260.106532024252,6.779661016949152,16.666666666666664,2.0,32.6,15.898531073446328
North-South,859A,3215.709293521922,2497.8192245818227,2.380952380952381,25.0,1.0,24.7,15.892380952380954
North-South,857A,6675.837953575757,3130.4491397756324,4.761904761904762,14.285714285714285,1.0,41.2,15.859047619047619
North-South,851,21757.373384872477,7794.798715419074,7.142857142857142,4.545454545454546,1.0,55.9,15.855324675324676
Downtown,518,50208.05221946257,17696.190029204943,17.5,3.9215686274509802,2.0,36.3,15.828627450980392
Downtown,857B,19239.222870268946,4623.7077328972455,10.0,10.0,2.0,39.0,15.8
East-West,31A,4106.480652023336,2729.3313220430528,3.389830508474576,20.0,1.0,32.1,15.775932203389832
Cross Island,34A,8201.293733119746,6205.618313814148,9.090909090909092,11.11111111111111,1.0,38.2,15.720808080808082
Downtown,174,24852.173775813764,8976.747054891748,12.5,4.0,1.0,45.5,15.7
North-South,235,6662.314731718379,3409.1767873652425,2.380952380952381,14.285714285714285,1.0,45.1,15.686666666666667
Thomson East Coast,665,22978.673962006982,6727.221585254544,13.157894736842104,4.3478260869565215,1.0,43.1,15.622288329519453
East-West,51,34299.2020730595,14245.711872980413,6.779661016949152,8.571428571428571,3.0,47.4,15.62043583535109
Cross Island,110,34327.188719724465,12416.645897325776,9.090909090909092,2.857142857142857,1.0,54.0,15.57922077922078
North-South,962B,3716.687889573915,1123.4468474685445,2.380952380952381,25.0,1.0,23.1,15.572380952380954
