ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
147A,8,74.47,"[2, 3, 4, 5, 6, 8, 9, 12, 15, 16, 19, 20, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 46, 47]",0.0,[],74.47,"[2, 3, 4, 5, 6, 8, 9, 12, 15, 16, 19, 20, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 46, 47]",0.0,[],70.21,"[2, 3, 4, 5, 6, 8, 9, 12, 19, 20, 21, 23, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 41, 42, 43, 44, 46, 47]",0.0,[]
14A,8,41.18,"[2, 4, 6, 7, 10, 11, 19, 20, 21, 25, 26, 27, 31, 32, 35, 40, 43, 44, 45, 46, 49]",0.0,[],41.18,"[2, 4, 6, 7, 10, 11, 19, 20, 21, 25, 26, 27, 31, 32, 35, 40, 43, 44, 45, 46, 49]",0.0,[],41.18,"[2, 4, 6, 7, 10, 11, 19, 20, 21, 25, 26, 27, 31, 32, 35, 40, 43, 44, 45, 46, 49]",0.0,[]
14e,8,67.5,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 31, 32, 33, 34, 35, 36, 37, 38, 39]",62.5,"[2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37]",67.5,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 31, 32, 33, 34, 35, 36, 37, 38, 39]",62.5,"[2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37]",67.5,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 31, 32, 33, 34, 35, 36, 37, 38, 39]",62.5,"[2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 37]"
15,8,10.14,"[2, 10, 19, 21, 45, 51, 63]",0.0,[],10.14,"[2, 12, 19, 21, 45, 51, 63]",0.0,[],11.59,"[2, 4, 12, 19, 21, 45, 51, 63]",0.0,[]
150,8,23.81,"[3, 4, 10, 20, 21]",0.0,[],23.81,"[3, 4, 10, 20, 21]",0.0,[],23.81,"[3, 4, 10, 20, 21]",0.0,[]
151,8,20.37,"[2, 24, 26, 28, 29, 31, 34, 39, 40, 50, 53]",20.37,"[20, 22, 23, 24, 25, 28, 29, 31, 34, 40, 48]",18.52,"[2, 21, 24, 26, 29, 31, 34, 39, 40, 50]",20.37,"[20, 22, 23, 24, 25, 28, 29, 31, 34, 40, 48]",14.81,"[2, 26, 29, 31, 34, 39, 40, 50]",20.37,"[20, 22, 23, 24, 25, 28, 29, 31, 34, 40, 48]"
153,8,20.0,"[2, 15, 16, 19, 22, 23, 25, 37, 41]",28.89,"[2, 5, 7, 11, 19, 20, 22, 24, 26, 28, 29, 32, 44]",20.0,"[2, 15, 16, 19, 22, 23, 25, 37, 41]",31.11,"[2, 5, 6, 7, 11, 19, 20, 22, 24, 26, 28, 29, 32, 44]",22.22,"[2, 15, 16, 19, 22, 23, 25, 28, 37, 41]",28.89,"[2, 5, 7, 11, 19, 20, 22, 24, 26, 28, 29, 32, 44]"
154,8,16.22,"[2, 4, 16, 17, 39, 41, 42, 44, 47, 48, 60, 63]",18.92,"[2, 4, 6, 8, 15, 25, 27, 30, 32, 35, 40, 41, 53, 72]",16.22,"[2, 4, 16, 17, 39, 41, 42, 44, 47, 48, 60, 63]",18.92,"[2, 4, 6, 8, 15, 25, 27, 30, 32, 35, 40, 41, 53, 72]",16.22,"[2, 4, 16, 17, 39, 41, 42, 44, 47, 48, 60, 63]",17.57,"[2, 4, 6, 8, 15, 27, 30, 32, 35, 40, 41, 53, 72]"
154A,8,55.56,"[2, 5, 6, 8, 9]",0.0,[],55.56,"[2, 5, 6, 8, 9]",0.0,[],55.56,"[2, 5, 6, 8, 9]",0.0,[]
154B,8,75.0,"[2, 3, 4, 5, 6, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32]",0.0,[],75.0,"[2, 3, 4, 5, 6, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32]",0.0,[],75.0,"[2, 3, 4, 5, 6, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32]",0.0,[]
155,8,25.86,"[2, 5, 6, 12, 15, 20, 24, 25, 27, 30, 34, 35, 36, 46, 49]",25.86,"[2, 6, 14, 23, 24, 25, 27, 36, 40, 41, 44, 46, 48, 55, 56]",32.76,"[2, 5, 6, 7, 12, 15, 20, 23, 24, 25, 27, 30, 32, 34, 35, 36, 44, 46, 49]",27.59,"[2, 6, 14, 23, 24, 25, 27, 36, 39, 40, 41, 44, 46, 48, 55, 56]",29.31,"[2, 5, 6, 7, 12, 15, 20, 24, 25, 27, 30, 34, 35, 36, 44, 46, 49]",25.86,"[2, 6, 14, 23, 24, 25, 27, 36, 40, 41, 44, 46, 48, 55, 56]"
156,8,17.19,"[4, 27, 31, 37, 39, 41, 42, 44, 47, 49, 56]",21.88,"[3, 15, 17, 19, 20, 21, 22, 25, 26, 27, 31, 34, 35, 50]",18.75,"[4, 27, 31, 37, 39, 41, 42, 44, 45, 47, 49, 56]",20.31,"[3, 15, 17, 19, 20, 21, 22, 25, 26, 27, 31, 34, 35]",18.75,"[4, 27, 31, 37, 39, 41, 42, 44, 45, 47, 49, 56]",20.31,"[3, 15, 17, 19, 20, 21, 22, 25, 26, 27, 31, 34, 35]"
157,8,20.69,"[2, 11, 15, 17, 20, 23, 28, 29, 32, 44, 48, 49]",15.52,"[2, 12, 13, 36, 38, 39, 41, 48, 54]",22.41,"[2, 7, 11, 15, 17, 20, 23, 28, 29, 32, 44, 48, 49]",15.52,"[2, 12, 13, 36, 38, 39, 48, 53, 54]",24.14,"[2, 7, 11, 15, 17, 20, 21, 23, 28, 29, 32, 44, 48, 49]",15.52,"[2, 12, 13, 36, 38, 39, 41, 48, 54]"
158,8,27.14,"[3, 8, 12, 18, 19, 21, 22, 23, 28, 34, 35, 39, 45, 51, 57, 61, 62, 64, 66]",0.0,[],27.14,"[3, 8, 12, 18, 19, 22, 23, 28, 29, 30, 34, 39, 45, 51, 57, 61, 62, 64, 66]",0.0,[],27.14,"[3, 8, 12, 18, 19, 22, 23, 28, 30, 34, 35, 39, 45, 51, 57, 61, 62, 64, 66]",0.0,[]
158A,8,77.78,"[2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,[],77.78,"[2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,[],74.07,"[2, 3, 4, 5, 6, 7, 8, 9, 13, 15, 16, 17, 20, 21, 22, 23, 24, 25, 26, 27]",0.0,[]
159,8,15.0,"[4, 14, 16, 27, 32, 37]",10.0,"[2, 8, 16, 20]",15.0,"[4, 14, 16, 27, 32, 37]",10.0,"[2, 8, 16, 20]",15.0,"[4, 14, 16, 27, 32, 37]",7.5,"[2, 8, 16]"
159A,8,24.0,"[4, 14, 16, 22, 24, 25]",0.0,[],24.0,"[4, 10, 14, 16, 24, 25]",0.0,[],28.0,"[4, 14, 16, 22, 23, 24, 25]",0.0,[]
159B,8,80.0,"[2, 3, 4, 5]",0.0,[],80.0,"[2, 3, 4, 5]",0.0,[],80.0,"[2, 3, 4, 5]",0.0,[]
15A,8,92.0,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.0,[],92.0,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.0,[],92.0,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",0.0,[]
16,8,32.65,"[2, 5, 7, 11, 14, 15, 17, 18, 21, 23, 27, 32, 37, 44, 46, 49]",30.61,"[2, 6, 12, 14, 17, 21, 22, 24, 25, 26, 30, 33, 34, 36, 38]",32.65,"[2, 5, 7, 11, 14, 15, 17, 18, 21, 23, 27, 32, 37, 44, 46, 49]",28.57,"[2, 6, 12, 14, 17, 21, 22, 24, 25, 26, 30, 33, 34, 36]",32.65,"[2, 5, 7, 11, 14, 15, 17, 18, 21, 23, 27, 32, 37, 44, 46, 49]",30.61,"[2, 6, 12, 14, 17, 21, 22, 24, 25, 26, 30, 33, 34, 36, 38]"
160,8,13.75,"[19, 34, 39, 40, 42, 43, 48, 55, 72, 75, 80]",0.0,[],12.5,"[19, 34, 39, 40, 42, 43, 48, 55, 75, 80]",0.0,[],12.5,"[19, 34, 39, 40, 42, 43, 48, 55, 75, 80]",0.0,[]
160A,8,8.33,[7],0.0,[],8.33,[7],0.0,[],16.67,"[3, 7]",0.0,[]
161,8,12.5,"[2, 18, 21]",12.5,"[2, 10, 23]",12.5,"[2, 18, 21]",12.5,"[2, 10, 23]",12.5,"[2, 18, 21]",12.5,"[2, 10, 23]"
162,8,22.81,"[2, 3, 8, 10, 16, 17, 20, 23, 26, 38, 43, 46, 53]",0.0,[],22.81,"[2, 3, 8, 10, 16, 17, 20, 23, 26, 38, 43, 46, 53]",0.0,[],21.05,"[2, 8, 10, 16, 17, 20, 23, 26, 38, 43, 46, 53]",0.0,[]
163,8,13.73,"[7, 16, 27, 29, 40, 48, 49]",13.73,"[2, 5, 7, 14, 23, 38, 40]",13.73,"[7, 16, 27, 29, 40, 48, 49]",11.76,"[2, 7, 14, 23, 38, 40]",13.73,"[7, 16, 27, 29, 40, 48, 49]",13.73,"[2, 5, 7, 14, 23, 38, 40]"
163A,8,82.35,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]",0.0,[],82.35,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]",0.0,[],82.35,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16]",0.0,[]
163B,8,76.92,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 22, 23, 24, 25, 26]",0.0,[],76.92,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 22, 23, 24, 25, 26]",0.0,[],76.92,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18, 22, 23, 24, 25, 26]",0.0,[]
165,8,16.67,"[8, 18, 29, 33, 37, 39, 43, 46, 47, 58]",11.67,"[3, 14, 17, 18, 21, 32, 43]",16.67,"[8, 18, 29, 33, 37, 39, 43, 46, 47, 58]",11.67,"[3, 14, 17, 18, 21, 32, 43]",15.0,"[8, 18, 29, 33, 37, 39, 43, 47, 58]",11.67,"[3, 14, 17, 18, 21, 32, 43]"
166,8,19.12,"[3, 14, 26, 27, 29, 30, 32, 34, 42, 48, 53, 64, 66]",17.65,"[3, 5, 6, 11, 20, 24, 31, 34, 35, 42, 44, 57]",19.12,"[3, 14, 26, 27, 29, 30, 32, 34, 42, 48, 53, 64, 66]",17.65,"[3, 5, 6, 20, 24, 29, 31, 34, 35, 42, 44, 57]",20.59,"[3, 14, 26, 27, 29, 30, 32, 34, 42, 48, 53, 63, 64, 66]",17.65,"[3, 5, 6, 11, 24, 29, 31, 34, 35, 42, 44, 57]"
167,8,36.62,"[4, 7, 10, 17, 19, 31, 33, 34, 37, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 60, 61, 62, 63, 66]",29.58,"[2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 16, 18, 19, 21, 24, 26, 27, 29, 36, 40, 53]",36.62,"[4, 7, 10, 17, 19, 31, 33, 34, 37, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 60, 61, 62, 63, 66]",29.58,"[2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 16, 18, 19, 21, 24, 26, 27, 29, 36, 40, 53]",36.62,"[4, 7, 10, 17, 19, 31, 33, 34, 37, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 57, 60, 61, 62, 63, 66]",29.58,"[2, 3, 4, 7, 8, 9, 11, 12, 13, 14, 16, 18, 19, 21, 24, 26, 27, 29, 40, 53, 56]"
168,8,14.81,"[6, 14, 22, 25]",14.81,"[2, 8, 18, 23]",14.81,"[6, 14, 22, 25]",14.81,"[2, 8, 18, 23]",14.81,"[6, 14, 22, 25]",18.52,"[2, 8, 18, 20, 23]"
168A,8,87.5,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[],87.5,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[],87.5,"[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",0.0,[]
169,8,5.45,"[2, 25, 41]",9.09,"[17, 25, 29, 32, 33]",5.45,"[2, 25, 41]",7.27,"[29, 32, 33, 37]",5.45,"[2, 25, 41]",9.09,"[17, 25, 29, 32, 33]"
169A,8,53.57,"[2, 3, 4, 5, 6, 7, 9, 12, 21, 23, 24, 25, 26, 27, 28]",0.0,[],53.57,"[2, 3, 4, 5, 6, 7, 9, 12, 21, 23, 24, 25, 26, 27, 28]",0.0,[],53.57,"[2, 3, 4, 5, 6, 7, 9, 12, 21, 23, 24, 25, 26, 27, 28]",0.0,[]
169B,8,77.78,"[2, 3, 4, 5, 6, 7, 9]",0.0,[],77.78,"[2, 3, 4, 5, 6, 7, 9]",0.0,[],77.78,"[2, 3, 4, 5, 6, 7, 9]",0.0,[]
16M,8,52.94,"[2, 3, 5, 7, 8, 11, 14, 15, 16, 17, 18, 21, 23, 24, 26, 27, 28, 29, 31, 32, 33, 37, 38, 41, 44, 46, 51]",80.39,"[2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47]",54.9,"[2, 3, 5, 6, 7, 8, 11, 14, 15, 16, 17, 18, 21, 23, 24, 26, 27, 28, 29, 31, 32, 33, 37, 41, 44, 46, 47, 51]",80.39,"[2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47]",56.86,"[2, 3, 5, 6, 7, 8, 10, 11, 14, 15, 16, 17, 18, 21, 23, 24, 26, 27, 28, 29, 31, 32, 33, 37, 41, 44, 46, 47, 51]",80.39,"[2, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 40, 42, 43, 44, 45, 46, 47]"
17,8,12.9,"[2, 14, 15, 26]",6.45,"[2, 18]",12.9,"[2, 14, 15, 26]",6.45,"[2, 18]",12.9,"[2, 14, 15, 26]",6.45,"[2, 18]"
170,8,30.3,"[3, 5, 9, 12, 13, 15, 16, 18, 19, 21, 26, 27, 29, 30, 36, 42, 43, 58, 65, 66]",34.85,"[2, 3, 12, 19, 28, 30, 33, 34, 35, 39, 40, 45, 46, 48, 49, 50, 51, 54, 58, 60, 62, 63, 64]",30.3,"[3, 5, 9, 12, 13, 15, 16, 18, 19, 21, 26, 27, 29, 30, 36, 42, 43, 58, 65, 66]",34.85,"[2, 3, 12, 19, 28, 30, 33, 34, 35, 39, 40, 45, 46, 48, 49, 50, 51, 54, 58, 60, 62, 63, 64]",30.3,"[3, 5, 9, 12, 13, 15, 16, 18, 19, 21, 26, 27, 29, 30, 36, 42, 43, 58, 65, 66]",34.85,"[2, 3, 12, 19, 28, 30, 33, 34, 35, 39, 40, 45, 46, 48, 49, 50, 51, 54, 58, 60, 62, 63, 64]"
170X,8,37.5,"[2, 7, 8]",25.0,"[3, 4]",37.5,"[2, 7, 8]",25.0,"[3, 4]",37.5,"[2, 7, 8]",25.0,"[3, 4]"
171,8,17.95,"[2, 3, 4, 19, 22, 26, 38]",0.0,[],20.51,"[2, 3, 4, 17, 19, 22, 26, 38]",0.0,[],20.51,"[2, 3, 4, 17, 19, 22, 26, 38]",0.0,[]
172,8,3.03,[3],3.03,[12],3.03,[3],3.03,[12],3.03,[3],6.06,"[6, 12]"
173,8,15.87,"[5, 6, 9, 11, 19, 21, 31, 46, 52, 57]",0.0,[],17.46,"[5, 6, 9, 11, 19, 21, 31, 46, 52, 56, 57]",0.0,[],19.05,"[5, 6, 9, 11, 19, 21, 31, 38, 46, 52, 56, 57]",0.0,[]
173A,8,87.5,"[2, 3, 4, 5, 6, 7, 8]",0.0,[],87.5,"[2, 3, 4, 5, 6, 7, 8]",0.0,[],87.5,"[2, 3, 4, 5, 6, 7, 8]",0.0,[]
174,8,17.46,"[2, 7, 28, 30, 31, 35, 50, 51, 52, 57, 58]",23.81,"[5, 6, 9, 14, 23, 29, 30, 34, 37, 42, 43, 46, 47, 58, 59]",17.46,"[2, 7, 28, 30, 31, 35, 50, 51, 52, 57, 58]",25.4,"[3, 5, 6, 9, 14, 23, 29, 30, 34, 37, 42, 43, 46, 47, 58, 59]",17.46,"[2, 7, 28, 30, 31, 35, 50, 51, 52, 57, 58]",26.98,"[3, 5, 6, 9, 14, 23, 29, 30, 34, 35, 37, 42, 43, 46, 47, 58, 59]"
174e,8,91.67,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",88.89,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36]",91.67,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",88.89,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36]",91.67,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",88.89,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 36]"
175,8,29.23,"[3, 4, 15, 17, 21, 27, 29, 37, 39, 41, 42, 46, 48, 49, 50, 51, 52, 53, 54]",15.38,"[3, 4, 8, 13, 14, 21, 26, 38, 48, 62]",30.77,"[3, 4, 15, 17, 21, 27, 29, 32, 37, 39, 41, 42, 46, 48, 49, 50, 51, 52, 53, 54]",16.92,"[3, 4, 5, 8, 13, 14, 21, 26, 38, 48, 62]",29.23,"[3, 4, 15, 17, 21, 27, 36, 37, 39, 41, 42, 46, 48, 49, 50, 51, 52, 53, 54]",16.92,"[3, 4, 5, 8, 13, 14, 21, 26, 38, 48, 62]"
176,8,9.84,"[5, 7, 11, 48, 50, 56]",4.92,"[11, 37, 53]",11.48,"[5, 7, 11, 18, 48, 50, 56]",4.92,"[11, 37, 53]",9.84,"[5, 7, 11, 18, 50, 56]",4.92,"[11, 37, 53]"
177,8,11.11,"[2, 4, 25]",0.0,[],11.11,"[2, 4, 25]",0.0,[],11.11,"[2, 4, 25]",0.0,[]
178,8,11.11,"[2, 14, 21, 30, 32, 35, 36, 48]",9.72,"[14, 15, 28, 30, 39, 46, 61]",11.11,"[2, 14, 21, 30, 32, 35, 36, 48]",9.72,"[14, 15, 28, 30, 39, 46, 61]",12.5,"[2, 14, 21, 30, 32, 35, 36, 48, 62]",9.72,"[14, 15, 28, 30, 39, 46, 61]"
178A,8,53.85,"[2, 3, 4, 5, 7, 12, 13]",0.0,[],53.85,"[2, 3, 4, 5, 7, 12, 13]",0.0,[],53.85,"[2, 3, 4, 5, 7, 12, 13]",0.0,[]
179,8,8.33,"[2, 22]",0.0,[],8.33,"[2, 22]",0.0,[],8.33,"[2, 22]",0.0,[]
179A,8,4.17,[8],0.0,[],4.17,[8],0.0,[],4.17,[8],0.0,[]
17A,8,20.0,"[2, 7]",0.0,[],20.0,"[2, 7]",0.0,[],20.0,"[2, 7]",0.0,[]
18,8,29.03,"[2, 7, 9, 10, 16, 21, 22, 25, 27]",19.35,"[6, 8, 12, 16, 22, 26]",29.03,"[2, 7, 9, 10, 16, 21, 22, 25, 27]",19.35,"[6, 8, 12, 16, 22, 26]",25.81,"[7, 9, 10, 16, 21, 22, 25, 27]",19.35,"[6, 8, 12, 16, 22, 26]"
180,8,12.5,"[5, 6, 8, 40, 41, 45]",0.0,[],12.5,"[5, 6, 8, 40, 41, 45]",0.0,[],12.5,"[5, 6, 8, 40, 41, 45]",0.0,[]
180A,8,69.23,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 20, 21, 22, 24, 25, 26]",0.0,[],69.23,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 20, 21, 22, 24, 25, 26]",0.0,[],69.23,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 20, 21, 22, 24, 25, 26]",0.0,[]
181,8,5.56,[2],0.0,[],5.56,[2],0.0,[],5.56,[2],0.0,[]
181M,8,88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18]",0.0,[],88.89,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 16, 17, 18]",0.0,[]
182,8,4.92,"[2, 53, 60]",0.0,[],4.92,"[2, 53, 60]",0.0,[],6.56,"[2, 3, 53, 60]",0.0,[]
182M,8,5.0,"[2, 52, 59]",0.0,[],5.0,"[2, 52, 59]",0.0,[],6.67,"[2, 3, 52, 59]",0.0,[]
183,8,6.9,"[3, 18, 19, 44]",0.0,[],3.45,"[3, 44]",0.0,[],3.45,"[3, 44]",0.0,[]
183B,8,18.18,"[3, 6]",0.0,[],18.18,"[3, 6]",0.0,[],9.09,[3],0.0,[]
184,8,7.14,"[9, 14, 40, 46]",0.0,[],7.14,"[9, 14, 40, 46]",0.0,[],7.14,"[9, 14, 40, 46]",0.0,[]
185,8,21.05,"[13, 14, 20, 21, 22, 32, 33, 35]",26.32,"[3, 5, 6, 8, 10, 12, 19, 20, 36, 37]",21.05,"[13, 14, 20, 21, 22, 32, 33, 35]",26.32,"[3, 5, 6, 8, 10, 12, 19, 20, 36, 37]",21.05,"[13, 14, 20, 21, 22, 32, 33, 35]",28.95,"[3, 5, 6, 8, 10, 12, 19, 20, 27, 36, 37]"
186,8,33.33,"[3, 4, 5, 7, 9, 14, 17, 19, 25, 26, 29, 32, 33, 37, 41]",26.67,"[14, 16, 18, 19, 22, 28, 31, 36, 38, 40, 42, 45]",31.11,"[3, 4, 7, 9, 14, 17, 19, 25, 26, 29, 32, 33, 37, 41]",28.89,"[12, 14, 16, 18, 19, 22, 28, 31, 36, 38, 40, 42, 45]",33.33,"[3, 4, 5, 7, 9, 14, 17, 19, 25, 26, 29, 32, 33, 37, 41]",24.44,"[14, 16, 18, 19, 22, 28, 31, 36, 38, 40, 45]"
187,8,17.07,"[2, 4, 21, 25, 31, 32, 38]",12.2,"[5, 12, 21, 37, 39]",17.07,"[2, 4, 21, 25, 31, 32, 38]",12.2,"[5, 12, 21, 37, 39]",17.07,"[2, 4, 21, 25, 31, 32, 38]",17.07,"[5, 12, 15, 21, 33, 37, 39]"
188,8,10.53,"[2, 14, 26, 44, 47, 49]",3.51,"[9, 14]",10.53,"[2, 14, 26, 44, 47, 49]",3.51,"[9, 14]",10.53,"[2, 14, 26, 44, 47, 49]",3.51,"[9, 14]"
188e,8,72.97,"[2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 27, 28, 29, 32, 33, 34, 35, 37]",0.0,[],72.97,"[2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 27, 28, 29, 32, 33, 34, 35, 37]",0.0,[],72.97,"[2, 3, 4, 5, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 27, 28, 29, 32, 33, 34, 35, 37]",0.0,[]
189,8,6.25,"[14, 21]",0.0,[],6.25,"[14, 21]",0.0,[],6.25,"[14, 21]",0.0,[]
189A,8,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
19,8,5.36,"[3, 5, 20]",0.0,[],5.36,"[3, 5, 20]",0.0,[],5.36,"[3, 5, 20]",0.0,[]
190,8,11.43,"[3, 16, 24, 31]",5.71,"[7, 19]",11.43,"[3, 16, 24, 31]",5.71,"[7, 19]",11.43,"[3, 16, 24, 31]",5.71,"[7, 19]"
190A,8,82.61,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 19, 20, 21, 22, 23]",0.0,[],82.61,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 19, 20, 21, 22, 23]",0.0,[],82.61,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15, 16, 17, 19, 20, 21, 22, 23]",0.0,[]
191,8,25.0,"[3, 5, 7, 17, 18]",0.0,[],25.0,"[3, 5, 7, 17, 18]",0.0,[],25.0,"[3, 5, 7, 17, 18]",0.0,[]
192,8,15.15,"[2, 12, 16, 29, 33]",6.06,"[6, 20]",15.15,"[2, 12, 16, 29, 33]",6.06,"[6, 20]",15.15,"[2, 12, 16, 29, 33]",6.06,"[6, 20]"
193,8,13.95,"[2, 5, 9, 19, 23, 43]",4.65,"[22, 26]",13.95,"[2, 5, 9, 19, 23, 43]",2.33,[22],13.95,"[2, 5, 9, 19, 23, 43]",2.33,[22]
194,8,5.56,[7],0.0,[],5.56,[7],0.0,[],5.56,[7],0.0,[]
195,8,26.09,"[5, 9, 11, 18, 20, 27, 33, 36, 41, 42, 43, 46, 56, 57, 63, 65, 67, 69]",0.0,[],24.64,"[5, 9, 11, 18, 20, 27, 33, 36, 41, 42, 43, 46, 56, 57, 63, 65, 69]",0.0,[],24.64,"[5, 9, 11, 18, 20, 27, 33, 36, 41, 42, 43, 46, 56, 57, 63, 65, 69]",0.0,[]
