ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
109A,8,86.67,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]",0.0,[],86.67,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]",0.0,[],86.67,"[2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15]",0.0,[]
10e,8,83.33,"[2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",83.33,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",83.33,"[2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",83.33,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]",83.33,"[2, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",83.33,"[2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29]"
11,8,36.0,"[3, 5, 8, 9, 11, 12, 14, 16, 19]",0.0,[],32.0,"[3, 5, 8, 9, 11, 12, 16, 19]",0.0,[],36.0,"[3, 5, 8, 9, 11, 12, 14, 16, 19]",0.0,[]
110,8,20.0,"[7, 12, 17, 19, 21, 28]",0.0,[],23.33,"[7, 12, 16, 17, 19, 21, 28]",0.0,[],20.0,"[7, 12, 17, 19, 21, 28]",0.0,[]
111,8,17.54,"[5, 6, 7, 10, 12, 19, 22, 34, 49, 51]",0.0,[],21.05,"[2, 5, 6, 7, 10, 12, 19, 22, 34, 49, 50, 51]",0.0,[],19.3,"[2, 5, 6, 7, 10, 12, 19, 22, 34, 49, 51]",0.0,[]
112,8,17.02,"[3, 13, 16, 28, 33, 35, 39, 41]",0.0,[],21.28,"[3, 13, 16, 28, 33, 35, 36, 39, 41, 47]",0.0,[],14.89,"[3, 13, 16, 28, 33, 35, 41]",0.0,[]
112A,8,75.0,"[2, 3, 4, 7, 8, 9, 10, 11, 12]",0.0,[],75.0,"[2, 3, 4, 7, 8, 9, 10, 11, 12]",0.0,[],75.0,"[2, 3, 4, 7, 8, 9, 10, 11, 12]",0.0,[]
113,8,20.45,"[3, 5, 8, 12, 19, 24, 33, 36, 41]",0.0,[],22.73,"[3, 5, 8, 12, 19, 24, 33, 36, 41, 44]",0.0,[],20.45,"[3, 5, 8, 12, 19, 24, 33, 36, 41]",0.0,[]
113A,8,50.0,"[2, 3, 4, 7, 9, 10, 12, 16, 17, 19]",0.0,[],45.0,"[2, 3, 4, 7, 9, 10, 12, 17, 19]",0.0,[],45.0,"[2, 3, 4, 7, 9, 10, 12, 17, 19]",0.0,[]
114,8,22.22,"[2, 8]",0.0,[],22.22,"[2, 8]",0.0,[],22.22,"[2, 8]",0.0,[]
