ServiceNo,Weekday_Percentage_Exceed,Weekend_Percentage_Exceed
856B,56.666666666666664,30.0
665,56.52173913043478,39.130434782608695
90A,56.52173913043478,34.78260869565217
850E,53.84615384615385,53.84615384615385
178A,53.84615384615385,46.15384615384615
12e,53.65853658536586,31.70731707317073
34A,53.333333333333336,33.33333333333333
114A,50.0,50.0
106A,50.0,41.66666666666667
513,50.0,40.909090909090914
96B,50.0,37.5
386,50.0,30.0
384,50.0,21.428571428571427
117M,47.61904761904761,42.857142857142854
661,47.05882352941176,47.05882352941176
138A,46.666666666666664,23.333333333333332
30e,44.73684210526316,42.10526315789473
925A,44.44444444444444,38.88888888888889
241A,44.44444444444444,11.11111111111111
912,44.18604651162791,6.976744186046512
140,43.47826086956522,21.73913043478261
129B,42.857142857142854,28.57142857142857
107M,42.64705882352941,16.176470588235293
82,41.86046511627907,13.953488372093023
282,41.66666666666667,16.666666666666664
96A,40.0,40.0
92A,40.0,30.0
72B,40.0,20.0
63M,40.0,17.142857142857142
825,40.0,6.666666666666667
186,39.53488372093023,16.27906976744186
167,39.436619718309856,14.084507042253522
21,39.130434782608695,11.594202898550725
175,38.59649122807017,14.035087719298245
115,38.46153846153847,7.6923076923076925
170X,37.5,25.0
13,37.5,10.9375
853,37.2093023255814,11.627906976744185
40,37.096774193548384,12.903225806451612
155,37.03703703703704,16.666666666666664
374,36.84210526315789,10.526315789473683
16,36.734693877551024,10.204081632653061
18,36.666666666666664,10.0
506,36.666666666666664,10.0
853M,36.61971830985916,11.267605633802818
183B,36.36363636363637,27.27272727272727
502,36.36363636363637,7.954545454545454
11,36.0,12.0
83,35.483870967741936,6.451612903225806
56,34.61538461538461,11.538461538461538
38,34.48275862068966,20.689655172413794
158,34.285714285714285,14.285714285714285
28,33.89830508474576,10.16949152542373
902,33.33333333333333,33.33333333333333
410G,33.33333333333333,16.666666666666664
901,33.33333333333333,13.333333333333334
307A,33.33333333333333,11.11111111111111
901M,33.33333333333333,8.333333333333332
95,33.33333333333333,6.666666666666667
262,33.33333333333333,4.166666666666666
852,32.6530612244898,14.285714285714285
975C,32.55813953488372,27.906976744186046
123,32.55813953488372,9.30232558139535
133,32.55813953488372,9.30232558139535
14,32.5,8.75
123M,32.0,16.0
170,31.818181818181817,22.727272727272727
54,31.818181818181817,11.363636363636363
269,31.818181818181817,0.0
32,31.666666666666664,8.333333333333332
105,31.57894736842105,14.035087719298245
91,31.57894736842105,10.526315789473683
125,31.372549019607842,11.76470588235294
64,31.32530120481928,10.843373493975903
146,31.25,18.75
71,30.952380952380953,14.285714285714285
122,30.76923076923077,17.94871794871795
107,30.76923076923077,12.82051282051282
137,30.434782608695656,21.73913043478261
195,30.434782608695656,14.492753623188406
60,30.303030303030305,12.121212121212121
117A,30.0,20.0
67,30.0,10.0
518,29.896907216494846,11.34020618556701
162,29.82456140350877,15.789473684210526
26,29.72972972972973,5.405405405405405
33,29.6875,12.5
48,29.629629629629626,12.962962962962962
5,29.508196721311474,11.475409836065573
84G,29.411764705882355,17.647058823529413
84W,29.411764705882355,11.76470588235294
80,29.310344827586203,10.344827586206897
229,29.166666666666668,4.166666666666666
63,29.126213592233007,6.796116504854369
382,28.57142857142857,14.285714285714285
400,28.57142857142857,14.285714285714285
981,28.57142857142857,14.285714285714285
121,28.57142857142857,7.142857142857142
859A,28.57142857142857,7.142857142857142
292,28.57142857142857,0.0
129,28.205128205128204,15.384615384615385
248,28.125,15.625
132,28.07017543859649,12.280701754385964
147,28.000000000000004,10.666666666666668
231,27.77777777777778,11.11111111111111
65,27.692307692307693,0.0
106,27.659574468085108,10.638297872340425
58,27.659574468085108,8.51063829787234
55,27.450980392156865,5.88235294117647
93,27.27272727272727,9.090909090909092
113,27.27272727272727,6.8181818181818175
31,27.083333333333332,12.5
960,27.083333333333332,8.333333333333332
268,27.083333333333332,6.25
961M,26.96629213483146,8.98876404494382
117,26.82926829268293,12.195121951219512
382G,26.666666666666668,13.333333333333334
153,26.666666666666668,13.333333333333334
110,26.666666666666668,6.666666666666667
96,26.666666666666668,6.666666666666667
185,26.31578947368421,10.526315789473683
174,26.229508196721312,8.19672131147541
24,26.21359223300971,8.737864077669903
985,26.190476190476193,4.761904761904762
197,26.08695652173913,11.594202898550725
855,25.925925925925924,7.4074074074074066
961,25.882352941176475,9.411764705882353
157,25.862068965517242,10.344827586206897
43,25.806451612903224,8.064516129032258
405,25.71428571428571,17.142857142857142
35,25.64102564102564,15.384615384615385
171,25.64102564102564,5.128205128205128
112,25.53191489361702,6.382978723404255
47,25.49019607843137,5.88235294117647
966,25.49019607843137,5.88235294117647
145,25.454545454545453,10.909090909090908
43M,25.0,12.5
191,25.0,10.0
381,25.0,7.142857142857142
166,25.0,5.88235294117647
851,25.0,5.357142857142857
333,25.0,5.0
371,25.0,0.0
189A,25.0,0.0
870,25.0,0.0
61,24.742268041237114,6.185567010309279
111,24.561403508771928,10.526315789473683
963,24.489795918367346,10.204081632653061
135,24.444444444444443,11.11111111111111
860,24.324324324324326,4.054054054054054
120,24.0,8.0
139,23.91304347826087,6.521739130434782
150,23.809523809523807,14.285714285714285
130,23.809523809523807,4.761904761904762
51,23.46938775510204,5.1020408163265305
972,23.4375,4.6875
102,23.333333333333332,8.333333333333332
119,22.916666666666664,6.25
927,22.857142857142858,8.571428571428571
62,22.727272727272727,6.8181818181818175
68,22.727272727272727,6.8181818181818175
20,22.727272727272727,6.8181818181818175
800,22.727272727272727,0.0
8,22.5,5.0
970,22.388059701492537,16.417910447761194
154,22.388059701492537,5.970149253731343
200,22.22222222222222,13.333333333333334
114,22.22222222222222,11.11111111111111
151,22.22222222222222,11.11111111111111
52,22.22222222222222,11.11111111111111
913M,22.22222222222222,7.4074074074074066
53M,22.22222222222222,0.0
196,22.058823529411764,8.823529411764707
2,21.73913043478261,10.144927536231885
134,21.62162162162162,13.513513513513514
109,21.568627450980394,5.88235294117647
972M,21.518987341772153,7.59493670886076
12,21.428571428571427,10.0
859B,21.428571428571427,0.0
883,21.21212121212121,12.121212121212121
945,21.052631578947366,10.526315789473683
75,21.052631578947366,8.771929824561402
307T,21.052631578947366,0.0
50,20.833333333333336,4.166666666666666
969,20.689655172413794,10.344827586206897
