ServiceNo,Threshold,2024-07,2024-07,2024-07,2024-07,2024-08,2024-08,2024-08,2024-08,2024-09,2024-09,2024-09,2024-09
,,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2,Direction_1,Direction_1,Direction_2,Direction_2
,,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs,%_Exceed,StopSeqs
137,10,10.87,"[17, 19, 21, 22, 24]",10.42,"[30, 28, 26, 25, 23]",10.87,"[17, 19, 21, 22, 24]",10.42,"[30, 28, 26, 25, 23]",10.87,"[17, 19, 21, 22, 24]",8.33,"[30, 28, 25, 23]"
138,10,40.68,"[14, 15, 16, 19, 20, 21, 22, 23, 25, 26, 27, 28, 32, 33, 34, 36, 37, 38, 39, 40, 41, 44, 45, 46]",0.0,[],38.98,"[14, 15, 16, 19, 20, 21, 22, 23, 25, 26, 27, 28, 32, 33, 34, 36, 38, 39, 40, 41, 44, 45, 46]",0.0,[],40.68,"[14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28, 32, 33, 34, 36, 38, 39, 40, 41, 44, 45, 46]",0.0,[]
138A,10,40.0,"[14, 15, 16, 19, 20, 21, 22, 23, 25, 26, 27, 28]",0.0,[],40.0,"[14, 15, 16, 19, 20, 21, 22, 23, 25, 26, 27, 28]",0.0,[],43.33,"[14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 28]",0.0,[]
138B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
139,10,2.22,[40],2.44,[7],2.22,[40],2.44,[7],2.22,[40],2.44,[7]
14,10,1.25,[35],0.0,[],0.0,[],0.0,[],1.25,[35],0.0,[]
140,10,4.35,[5],0.0,[],4.35,[5],0.0,[],4.35,[5],0.0,[]
141,10,0.0,[],7.41,"[10, 7]",0.0,[],3.7,[7],0.0,[],3.7,[7]
142,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
142A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
143,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
143M,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
145,10,1.82,[32],1.82,[24],1.82,[32],1.82,[24],3.64,"[31, 32]",1.82,[24]
146,10,6.25,[3],0.0,[],6.25,[3],0.0,[],6.25,[3],0.0,[]
147,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
14A,10,1.96,[35],0.0,[],0.0,[],0.0,[],1.96,[35],0.0,[]
14e,10,,,,,,,,,,,,
15,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
150,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
151,10,1.85,[53],1.89,[40],0.0,[],1.89,[40],0.0,[],1.89,[40]
153,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
154,10,1.49,[17],2.74,"[61, 58]",1.49,[17],2.74,"[61, 58]",1.49,[17],2.74,"[61, 58]"
154A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
154B,10,3.12,[17],0.0,[],3.12,[17],0.0,[],3.12,[17],0.0,[]
155,10,0.0,[],1.72,[6],0.0,[],1.72,[6],0.0,[],1.72,[6]
156,10,6.25,"[33, 49, 53, 54]",3.39,"[27, 11]",4.69,"[49, 53, 54]",3.39,"[27, 11]",6.25,"[35, 49, 53, 54]",5.08,"[31, 27, 11]"
157,10,8.62,"[11, 12, 13, 14, 15]",7.14,"[45, 44, 43, 42]",8.62,"[11, 12, 13, 14, 15]",7.14,"[45, 44, 43, 42]",8.62,"[11, 12, 13, 14, 15]",8.93,"[48, 45, 44, 43, 42]"
158,10,13.04,"[3, 5, 31, 32, 35, 40, 41, 66, 68]",0.0,[],13.04,"[3, 5, 31, 32, 35, 40, 41, 66, 68]",0.0,[],13.04,"[3, 5, 31, 32, 35, 40, 41, 66, 68]",0.0,[]
158A,10,18.52,"[10, 11, 13, 17, 18]",0.0,[],18.52,"[10, 11, 13, 17, 18]",0.0,[],18.52,"[10, 11, 13, 17, 18]",0.0,[]
159,10,2.56,[32],2.5,[8],2.56,[32],0.0,[],2.56,[32],0.0,[]
159A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
15A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
16,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
160,10,15.0,"[8, 13, 21, 25, 29, 30, 31, 40, 44, 49, 50, 56]",0.0,[],13.75,"[13, 21, 25, 29, 30, 31, 40, 44, 49, 50, 56]",0.0,[],12.5,"[8, 21, 25, 30, 31, 40, 44, 49, 50, 56]",0.0,[]
160A,10,8.33,[8],0.0,[],0.0,[],0.0,[],8.33,[8],0.0,[]
161,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
162,10,3.51,"[31, 32]",0.0,[],3.51,"[31, 32]",0.0,[],3.51,"[31, 32]",0.0,[]
163,10,0.0,[],0.0,[],0.0,[],0.0,[],1.96,[43],0.0,[]
163A,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
163B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
165,10,10.0,"[33, 34, 35, 36, 37, 48]",8.77,"[25, 24, 23, 22, 11]",10.0,"[33, 34, 35, 36, 37, 48]",8.77,"[25, 24, 23, 22, 11]",10.0,"[33, 34, 35, 36, 37, 48]",8.77,"[25, 24, 23, 22, 11]"
166,10,1.47,[20],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
167,10,7.04,"[12, 19, 20, 21, 39]",5.8,"[66, 51, 50, 49]",5.63,"[12, 19, 20, 21]",5.8,"[66, 51, 50, 49]",5.63,"[12, 19, 20, 21]",7.25,"[66, 53, 51, 50, 49]"
169,10,12.73,"[17, 18, 19, 34, 41, 42, 43]",14.55,"[40, 39, 38, 37, 25, 15, 14, 13]",14.55,"[17, 18, 19, 31, 34, 41, 42, 43]",14.55,"[40, 39, 38, 37, 25, 15, 14, 13]",14.55,"[17, 18, 19, 31, 34, 41, 42, 43]",16.36,"[40, 39, 38, 37, 25, 17, 15, 14, 13]"
169A,10,10.71,"[17, 18, 19]",0.0,[],10.71,"[17, 18, 19]",0.0,[],10.71,"[17, 18, 19]",0.0,[]
169B,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
16M,10,0.0,[],0.0,[],0.0,[],0.0,[],0.0,[],0.0,[]
170,10,12.12,"[45, 49, 53, 54, 55, 58, 59, 60]",7.81,"[20, 14, 13, 8, 6]",13.64,"[36, 45, 49, 53, 54, 55, 58, 59, 60]",7.81,"[20, 14, 13, 8, 6]",9.09,"[45, 49, 54, 55, 58, 60]",7.81,"[20, 14, 13, 8, 6]"
